plot_id,Plot,Plot-T,Plant Ht,Ear Ht,Number Of Ears,Stalk Diam Major,Stalk DiamMinimum,No Brace Root Whorls Emerged,Hybrid,Density,Rep,PlantNumber
22.1.19716.67.2,67,7,194,88,2,34,24,3,LH82 / PHP02,6,2,2
22.1.19716.67.3,67,7,191,89,2,35,26,3,LH82 / PHP02,6,2,3
22.1.19716.67.4,67,7,184,88,2,29,25,3,LH82 / PHP02,6,2,4
22.1.19716.67.5,67,7,187,84,2,33,24,3,LH82 / PHP02,6,2,5
22.1.19716.67.6,67,7,188,85,2,35,27,3,LH82 / PHP02,6,2,6
22.1.19716.103.1,103,25,190,68,2,31,21,3,LH82 / PHP02,6,3,1
22.1.19716.103.2,103,25,187,87,2,35,22,3,LH82 / PHP02,6,3,2
22.1.19716.103.3,103,25,182,85,2,32,25,2,LH82 / PHP02,6,3,3
22.1.19716.103.4,103,25,119,91,2,31,22,3,LH82 / PHP02,6,3,4
22.1.19716.103.5,103,25,191,75,2,35,21,2,LH82 / PHP02,6,3,5
22.1.19716.103.6,103,25,189,64,2,36,22,2,LH82 / PHP02,6,3,6
22.1.19716.91.1,91,19,189,87,2,37,27,3,LH82 / PHP02,6,4,1
22.1.19716.91.2,91,19,192,91,2,28,22,2,LH82 / PHP02,6,4,2
22.1.19716.91.3,91,19,187,81,2,32,23,2,LH82 / PHP02,6,4,3
22.1.19716.91.4,91,19,183,85,2,35,24,3,LH82 / PHP02,6,4,4
22.1.19716.91.5,91,19,189,85,2,35,23,2,LH82 / PHP02,6,4,5
22.1.19716.91.6,91,19,188,87,2,31,24,3,LH82 / PHP02,6,4,6
22.1.19716.83.1,83,15,202,95,2,31,22,3,LH82 / PHP02,12,1,1
22.1.19716.83.2,83,15,197,93,2,32,26,2,LH82 / PHP02,12,1,2
22.1.19716.83.3,83,15,185,71,1,33,22,3,LH82 / PHP02,12,1,3
22.1.19716.83.4,83,15,182,90,2,26,21,3,LH82 / PHP02,12,1,4
22.1.19716.83.5,83,15,192,94,2,30,25,2,LH82 / PHP02,12,1,5
22.1.19716.83.6,83,15,178,98,2,21,18,1,LH82 / PHP02,12,1,6
22.1.19716.83.7,83,15,202,96,2,27,21,2,LH82 / PHP02,12,1,7
22.1.19716.83.8,83,15,191,96,2,30,25,2,LH82 / PHP02,12,1,8
22.1.19716.83.9,83,15,178,103,2,22,19,2,LH82 / PHP02,12,1,9
22.1.19716.83.10,83,15,195,95,2,29,27,2,LH82 / PHP02,12,1,10
22.1.19716.83.11,83,15,194,93,2,29,24,2,LH82 / PHP02,12,1,11
22.1.19716.83.12,83,15,195,90,2,35,26,2,LH82 / PHP02,12,1,12
22.1.19716.59.1,59,3,197,94,2,30,24,3,LH82 / PHP02,12,2,1
22.1.19716.59.2,59,3,202,102,2,21,17,2,LH82 / PHP02,12,2,2
22.1.19716.59.3,59,3,201,93,2,26,21,3,LH82 / PHP02,12,2,3
