Year,Location,Experiment,Genotype,Species,PlantID-ReplicateNumber,Plot,Replicate,Test_Type,Tester_Name,Planting_Date,Testing_Date,DAP,force_N,raw_data_file,Additional_Notes,line_raw_slope_N.m
2020,Newark,Lodging Hybrids,LH82 x PHK76,Maize,229-2,229,2,A,JR,6/26/20,9/25/20,91,17.36,229-2_09_25_2020_15_20_36.xls,NA,1636.24368
2020,Newark,Lodging Hybrids,LH82 x PHK76,Maize,229-2,229,2,B,JR,6/26/20,9/25/20,91,12.07,229-2_09_25_2020_15_21_26.xls,1WR - SMALL,2114.57432
2020,Newark,Lodging Hybrids,LH82 x PHK76,Maize,229-3,229,3,A,JR,6/26/20,9/25/20,91,33.84,229-3_09_25_2020_15_18_57.xls,NA,3376.9902
2020,Newark,Lodging Hybrids,LH82 x PHK76,Maize,229-3,229,3,B,JR,6/26/20,9/25/20,91,21.48,229-3_09_25_2020_15_19_27.xls,1WR,2153.49015
2020,Newark,Lodging Hybrids,LH82 x PHK76,Maize,229-4,229,4,A,JR,6/26/20,9/25/20,91,39.44,229-4_09_25_2020_15_16_37.xls,NA,5106.92467
2020,Newark,Lodging Hybrids,LH82 x PHK76,Maize,229-4,229,4,B,JR,6/26/20,9/25/20,91,10.99,229-4_09_25_2020_15_17_43.xls,2WR,2556.83339
2020,Newark,Lodging Hybrids,LH82 x PHK76,Maize,229-5,229,5,A,JR,6/26/20,9/25/20,91,-9.71,229-5_09_25_2020_15_14_21.xls,NA,4447.43824
2020,Newark,Lodging Hybrids,LH82 x PHK76,Maize,229-5,229,5,B,JR,6/26/20,9/25/20,91,-5.98,229-5_09_25_2020_15_15_19.xls,2WR,2323.4253
2020,Newark,Lodging Hybrids,LH82 x PHK76,Maize,229-6,229,6,A,JR,6/26/20,9/25/20,91,26.98,229-6_09_25_2020_15_11_22.xls,NA,2455.97107
2020,Newark,Lodging Hybrids,LH82 x PHK76,Maize,229-6,229,6,B,JR,6/26/20,9/25/20,91,14.91,229-6_09_25_2020_15_12_19.xls,2WR,1703.06855
2020,Newark,Lodging Hybrids,LH82 x PHK76,Maize,229-7,229,7,A,JR,6/26/20,9/25/20,91,40.02,229-7_09_25_2020_15_09_43.xls,NA,5138.73329
2020,Newark,Lodging Hybrids,LH82 x PHK76,Maize,229-7,229,7,B,JR,6/26/20,9/25/20,91,23.64,229-7_09_25_2020_15_10_17.xls,1WR,4528.7435
2020,Newark,Lodging Hybrids,LH82 x PHK76,Maize,229-8,229,8,A,JR,6/26/20,9/25/20,91,35.02,229-8_09_25_2020_15_07_49.xls,NA,4392.69633
2020,Newark,Lodging Hybrids,LH82 x PHK76,Maize,229-8,229,8,B,JR,6/26/20,9/25/20,91,14.81,229-8_09_25_2020_15_08_41.xls,2WR,2312.43415
2020,Newark,Lodging Hybrids,LH82 x PHK76,Maize,229-9,229,9,A,JR,6/26/20,9/25/20,91,39.83,229-9_09_25_2020_15_05_44.xls,NA,3357.58271
2020,Newark,Lodging Hybrids,LH82 x PHK76,Maize,229-9,229,9,B,JR,6/26/20,9/25/20,91,16.28,229-9_09_25_2020_15_06_39.xls,2WR,2331.87121
2020,Newark,Lodging Hybrids,LH82 x PHP02,Maize,230-1,230,1,A,JR,6/26/20,9/25/20,91,44.44,230-1_09_25_2020_15_03_48.xls,NA,6877.30837
2020,Newark,Lodging Hybrids,LH82 x PHP02,Maize,230-1,230,1,B,JR,6/26/20,9/25/20,91,41.4,230-1_09_25_2020_15_04_25.xls,1WR,4265.67917
2020,Newark,Lodging Hybrids,LH82 x PHP02,Maize,230-10,230,10,A,JR,6/26/20,9/25/20,91,36.89,230-10_09_25_2020_14_43_22.xls,NA,5467.13955
