Year,Location,Experiment,Genotype,Species,PlantID_ReplicateNumber,Plot,Replicate,Test_Type,Tester_Name,Planting_Date,Testing_Date,Torsional_Stiffness_Nm/rad,raw_data_file,Additional_Notes,DAP
2021,Newark,55&Friends,PH207,Maize,1119_5,1119,5,A,JR,5/20/21,9/28/21,40.538,1119-5_09_28_2021_13_54_11.xls,NA,131
2021,Newark,55&Friends,PH207,Maize,1119_8,1119,8,A,JR,5/20/21,9/28/21,69.754,1119-8_09_28_2021_13_55_01.xls,NA,131
2021,Newark,55&Friends,NC350,Maize,1120_10,1120,10,A,JR,5/20/21,9/28/21,48.23,1120-10_09_28_2021_13_58_38.xls,NA,131
2021,Newark,55&Friends,NC350,Maize,1120_13,1120,13,A,JR,5/20/21,9/28/21,48.674,1120-13_09_28_2021_13_57_51.xls,NA,131
2021,Newark,55&Friends,Ki11,Maize,1121_4,1121,4,A,JR,5/20/21,9/28/21,170.486,1121-4_09_28_2021_14_01_50.xls,NA,131
2021,Newark,55&Friends,Ki11,Maize,1121_8,1121,8,A,JR,5/20/21,9/28/21,145.891,1121-8_09_28_2021_14_02_43.xls,NA,131
2021,Newark,55&Friends,Tx807,Maize,1122_5,1122,5,A,JR,5/20/21,9/28/21,109.183,1122-5_09_28_2021_14_06_09.xls,NA,131
2021,Newark,55&Friends,Tx807,Maize,1122_7,1122,7,A,JR,5/20/21,9/28/21,108.822,1122-7_09_28_2021_14_07_04.xls,NA,131
2021,Newark,55&Friends,Mo17,Maize,1123_3,1123,3,A,JR,5/20/21,9/28/21,27.869,1123-3_09_28_2021_14_10_47.xls,NA,131
2021,Newark,55&Friends,Mo17,Maize,1123_6,1123,6,A,JR,5/20/21,9/28/21,29.841,1123-6_09_28_2021_14_11_39.xls,NA,131
2021,Newark,55&Friends,LH252,Maize,1124_6,1124,6,A,JR,5/20/21,9/28/21,63.709,1124-6_09_28_2021_14_14_51.xls,NA,131
2021,Newark,55&Friends,LH252,Maize,1124_9,1124,9,A,JR,5/20/21,9/28/21,73.361,1124-9_09_28_2021_14_16_04.xls,NA,131
2021,Newark,55&Friends,CML258,Maize,1125_4,1125,4,A,JR,5/20/21,9/28/21,178.76,1125-4_09_28_2021_14_19_21.xls,NA,131
2021,Newark,55&Friends,CML258,Maize,1125_7,1125,7,A,JR,5/20/21,9/28/21,112.521,1125-7_09_28_2021_14_20_34.xls,NA,131
2021,Newark,55&Friends,SA24,Maize,1126_5,1126,5,A,JR,5/20/21,9/28/21,73.636,1126-5_09_28_2021_14_23_40.xls,NA,131
2021,Newark,55&Friends,SA24,Maize,1126_7,1126,7,A,JR,5/20/21,9/28/21,120.193,1126-7_09_28_2021_14_24_42.xls,NA,131
2021,Newark,55&Friends,A632,Maize,1127_4,1127,4,A,JR,5/20/21,9/28/21,112.933,1127-4_09_28_2021_14_27_57.xls,NA,131
2021,Newark,55&Friends,A632,Maize,1127_5,1127,5,A,JR,5/20/21,9/28/21,97.5,1127-5_09_28_2021_14_28_54.xls,NA,131
